Bracket size,Precio bruto ANAC bracket,Demanda Anual 2026
"2,5MM","$30-$32,5MM",258
"2,5MM","$32,5-$35MM",514
"2,5MM","$35-$37,5MM",11
"2,5MM","$37,5-$40MM",221
"2,5MM","$40-$42,5MM",98
"2,5MM","$42,5-$45MM",271
"2,5MM","$45-$47,5MM",158
"2,5MM","$47,5-$50MM",116
"2,5MM","$50-$52,5MM",6
"2,5MM","$52,5-$55MM",78
"2,5MM","$55-$57,5MM",80
"2,5MM","$57,5-$60MM",114
"2,5MM","$60-$62,5MM",23
"2,5MM","$62,5-$65MM",9
"2,5MM","$65-$67,5MM",22
"2,5MM","$67,5-$70MM",41
"2,5MM","$70-$72,5MM",41
"2,5MM","$72,5-$75MM",55
"2,5MM","$75-$77,5MM",14
"2,5MM","$77,5-$80MM",9
"2,5MM","$80-$82,5MM",4
"2,5MM","$82,5-$85MM",11
"2,5MM","$85-$87,5MM",22
"2,5MM","$87,5-$90MM",2
"2,5MM","$90-$92,5MM",0
"2,5MM","$92,5-$95MM",0
"2,5MM","$95-$97,5MM",0
"2,5MM","$97,5-$100MM",0
"2,5MM","$100-$102,5MM",0
"2,5MM","$102,5-$105MM",8
"2,5MM","$105-$107,5MM",0
"2,5MM","$107,5-$110MM",1
"2,5MM","$110-$112,5MM",0
"2,5MM","$112,5-$115MM",0
"2,5MM","$115-$117,5MM",5
"2,5MM","$117,5-$120MM",0
"2,5MM","$120-$122,5MM",2
"2,5MM","$122,5-$125MM",0
"2,5MM","$125-$127,5MM",0
"2,5MM","$127,5-$130MM",7
"2,5MM","$130-$132,5MM",2
"2,5MM","$132,5-$135MM",8
"2,5MM","$135-$137,5MM",0
"2,5MM","$137,5-$140MM",0
"2,5MM","$140-$142,5MM",0
"2,5MM","$142,5-$145MM",1
"2,5MM","$145-$147,5MM",0
"2,5MM","$147,5-$150MM",0
5MM,$30-$35MM,772
5MM,$35-$40MM,232
5MM,$40-$45MM,369
5MM,$45-$50MM,274
5MM,$50-$55MM,84
5MM,$55-$60MM,194
5MM,$60-$65MM,32
5MM,$65-$70MM,63
5MM,$70-$75MM,96
5MM,$75-$80MM,23
5MM,$80-$85MM,15
5MM,$85-$90MM,24
5MM,$90-$95MM,0
5MM,$95-$100MM,0
5MM,$100-$105MM,8
5MM,$105-$110MM,1
5MM,$110-$115MM,0
5MM,$115-$120MM,5
5MM,$120-$125MM,2
5MM,$125-$130MM,7
5MM,$130-$135MM,10
5MM,$135-$140MM,0
5MM,$140-$145MM,1
5MM,$145-$150MM,0
